,time_period,repo_name,group,treatment_group,time_index,treatment,pr_opener,commits,issue_number,issue_comments
40,2016-07-01,mitmproxy/mitmproxy,Other_Uncooperative,6.0,4.0,0,351.0,1010.0,480.0,735.0
41,2016-07-01,numba/llvmlite,Other_Cooperative,5.0,4.0,0,20.0,31.0,26.0,46.0
42,2016-07-01,qiniu/python-sdk,Other_Uncooperative,8.0,4.0,0,13.0,26.0,50.0,75.0
43,2016-07-01,saltstack/salt-testing,Other_Cooperative,5.0,4.0,0,7.0,55.0,0.0,0.0
44,2016-07-01,sbg/sevenbridges-python,Other_Uncooperative,7.0,4.0,0,8.0,13.0,28.0,34.0
45,2016-07-01,sunscrapers/djoser,Other_Uncooperative,8.0,4.0,0,9.0,17.0,22.0,29.0
46,2016-07-01,translate/translate,Other_Cooperative,6.0,4.0,0,34.0,104.0,31.0,47.0
47,2016-07-01,tweepy/tweepy,Other_Cooperative,7.0,4.0,0,8.0,10.0,110.0,137.0
48,2016-07-01,vmware/pyvcloud,Other_Cooperative,8.0,4.0,0,2.0,2.0,1.0,1.0
49,2017-01-01,CybOXProject/python-cybox,Other_Uncooperative,8.0,5.0,0,2.0,2.0,8.0,17.0
50,2017-01-01,WattTime/pyiso,Other_Uncooperative,5.0,5.0,1,3.0,26.0,9.0,10.0
51,2017-01-01,appknox/vendor,Other_Cooperative,7.0,5.0,0,20.0,57.0,0.0,0.0
52,2017-01-01,autoprotocol/autoprotocol-python,Other_Uncooperative,5.0,5.0,1,2.0,6.0,0.0,0.0
53,2017-01-01,boto/boto3,Other_Uncooperative,9.0,5.0,0,21.0,40.0,518.0,644.0
54,2017-01-01,boto/botocore,Other_Uncooperative,9.0,5.0,0,52.0,130.0,115.0,136.0
55,2017-01-01,celery/billiard,Other_Cooperative,5.0,5.0,1,8.0,14.0,15.0,17.0
56,2017-01-01,charlesthk/python-mailchimp,Other_Cooperative,8.0,5.0,0,8.0,16.0,19.0,26.0
57,2017-01-01,cloudendpoints/endpoints-management-python,Other_Uncooperative,9.0,5.0,0,7.0,15.0,1.0,1.0
58,2017-01-01,codecov/codecov-python,Other_Uncooperative,8.0,5.0,0,7.0,7.0,19.0,22.0
59,2017-01-01,douban/pymesos,Other_Cooperative,8.0,5.0,0,5.0,5.0,8.0,20.0
60,2017-01-01,dyninc/dyn-python,Other_Uncooperative,5.0,5.0,1,1.0,1.0,0.0,0.0
61,2017-01-01,inspirehep/hepcrawl,Other_Cooperative,8.0,5.0,0,29.0,72.0,16.0,29.0
62,2017-01-01,irods/python-irodsclient,Other_Cooperative,8.0,5.0,0,6.0,15.0,25.0,56.0
63,2017-01-01,kelproject/pykube,Other_Cooperative,7.0,5.0,0,5.0,7.0,23.0,27.0
64,2017-01-01,lektor/lektor,Other_Cooperative,6.0,5.0,0,9.0,20.0,71.0,134.0
65,2017-01-01,mitmproxy/mitmproxy,Other_Uncooperative,6.0,5.0,0,310.0,690.0,485.0,780.0
66,2017-01-01,numba/llvmlite,Other_Cooperative,5.0,5.0,1,42.0,78.0,47.0,81.0
67,2017-01-01,qiniu/python-sdk,Other_Uncooperative,8.0,5.0,0,8.0,13.0,21.0,24.0
68,2017-01-01,saltstack/salt-testing,Other_Cooperative,5.0,5.0,1,10.0,52.0,1.0,3.0
69,2017-01-01,sbg/sevenbridges-python,Other_Uncooperative,7.0,5.0,0,3.0,5.0,5.0,5.0
70,2017-01-01,secure-systems-lab/securesystemslib,Other_Cooperative,8.0,5.0,0,5.0,5.0,1.0,6.0
71,2017-01-01,sunscrapers/djoser,Other_Uncooperative,8.0,5.0,0,3.0,10.0,32.0,39.0
72,2017-01-01,tariqdaouda/pyArango,Other_Cooperative,9.0,5.0,0,9.0,9.0,7.0,12.0
73,2017-01-01,translate/translate,Other_Cooperative,6.0,5.0,0,67.0,131.0,33.0,48.0
74,2017-01-01,tweepy/tweepy,Other_Cooperative,7.0,5.0,0,12.0,12.0,103.0,113.0
75,2017-01-01,ultrabug/py3status,Other_Cooperative,9.0,5.0,0,168.0,375.0,92.0,190.0
76,2017-01-01,vmware/pyvcloud,Other_Cooperative,8.0,5.0,0,4.0,4.0,0.0,0.0
77,2017-07-01,CybOXProject/python-cybox,Other_Uncooperative,8.0,6.0,0,4.0,4.0,11.0,14.0
78,2017-07-01,Parsely/pykafka,Other_Cooperative,10.0,6.0,0,5.0,10.0,44.0,57.0
79,2017-07-01,WattTime/pyiso,Other_Uncooperative,5.0,6.0,1,57.0,116.0,27.0,31.0
80,2017-07-01,appknox/vendor,Other_Cooperative,7.0,6.0,0,9.0,20.0,1.0,1.0
81,2017-07-01,autoprotocol/autoprotocol-python,Other_Uncooperative,5.0,6.0,1,2.0,6.0,0.0,0.0
82,2017-07-01,boto/boto3,Other_Uncooperative,9.0,6.0,0,16.0,25.0,546.0,708.0
83,2017-07-01,boto/botocore,Other_Uncooperative,9.0,6.0,0,48.0,130.0,118.0,149.0
84,2017-07-01,celery/billiard,Other_Cooperative,5.0,6.0,1,3.0,7.0,28.0,37.0
85,2017-07-01,charlesthk/python-mailchimp,Other_Cooperative,8.0,6.0,0,2.0,3.0,22.0,26.0
86,2017-07-01,cloudendpoints/endpoints-management-python,Other_Uncooperative,9.0,6.0,0,4.0,12.0,1.0,1.0
87,2017-07-01,codecov/codecov-python,Other_Uncooperative,8.0,6.0,0,9.0,9.0,7.0,11.0
88,2017-07-01,douban/pymesos,Other_Cooperative,8.0,6.0,0,0.0,0.0,3.0,4.0
89,2017-07-01,dyninc/dyn-python,Other_Uncooperative,5.0,6.0,1,2.0,6.0,0.0,0.0
90,2017-07-01,inspirehep/hepcrawl,Other_Cooperative,8.0,6.0,0,12.0,36.0,30.0,41.0
91,2017-07-01,irods/python-irodsclient,Other_Cooperative,8.0,6.0,0,6.0,10.0,18.0,31.0
92,2017-07-01,kelproject/pykube,Other_Cooperative,7.0,6.0,0,0.0,0.0,5.0,5.0
93,2017-07-01,lektor/lektor,Other_Cooperative,6.0,6.0,1,28.0,67.0,148.0,252.0
94,2017-07-01,matrix-org/matrix-python-sdk,Other_Cooperative,10.0,6.0,0,9.0,34.0,20.0,25.0
95,2017-07-01,mitmproxy/mitmproxy,Other_Uncooperative,6.0,6.0,1,137.0,234.0,314.0,501.0
96,2017-07-01,numba/llvmlite,Other_Cooperative,5.0,6.0,1,26.0,43.0,37.0,61.0
97,2017-07-01,opentracing/opentracing-python,Other_Cooperative,10.0,6.0,0,4.0,9.0,3.0,4.0
98,2017-07-01,pyca/pynacl,Other_Cooperative,10.0,6.0,0,13.0,19.0,39.0,59.0
99,2017-07-01,qiniu/python-sdk,Other_Uncooperative,8.0,6.0,0,6.0,6.0,7.0,8.0
100,2017-07-01,saltstack/salt-testing,Other_Cooperative,5.0,6.0,1,0.0,0.0,0.0,0.0
101,2017-07-01,sbg/sevenbridges-python,Other_Uncooperative,7.0,6.0,0,5.0,39.0,4.0,5.0
102,2017-07-01,secure-systems-lab/securesystemslib,Other_Cooperative,8.0,6.0,0,1.0,2.0,7.0,14.0
103,2017-07-01,sunscrapers/djoser,Other_Uncooperative,8.0,6.0,0,8.0,11.0,32.0,41.0
104,2017-07-01,tariqdaouda/pyArango,Other_Cooperative,9.0,6.0,0,3.0,3.0,8.0,12.0
105,2017-07-01,tmux-python/libtmux,Other_Uncooperative,10.0,6.0,0,0.0,5.0,0.0,0.0
106,2017-07-01,translate/translate,Other_Cooperative,6.0,6.0,1,80.0,206.0,23.0,27.0
107,2017-07-01,tweepy/tweepy,Other_Cooperative,7.0,6.0,0,8.0,10.0,119.0,143.0
108,2017-07-01,ultrabug/py3status,Other_Cooperative,9.0,6.0,0,103.0,268.0,98.0,224.0
109,2017-07-01,vmware/pyvcloud,Other_Cooperative,8.0,6.0,0,22.0,44.0,1.0,1.0
110,2018-01-01,CybOXProject/python-cybox,Other_Uncooperative,8.0,7.0,0,5.0,6.0,4.0,10.0
111,2018-01-01,Parsely/pykafka,Other_Cooperative,10.0,7.0,0,9.0,10.0,30.0,43.0
112,2018-01-01,WattTime/pyiso,Other_Uncooperative,5.0,7.0,1,2.0,10.0,4.0,5.0
113,2018-01-01,appknox/vendor,Other_Cooperative,7.0,7.0,1,22.0,87.0,0.0,0.0
114,2018-01-01,astropy/regions,Other_Cooperative,11.0,7.0,0,23.0,47.0,16.0,25.0
115,2018-01-01,autoprotocol/autoprotocol-python,Other_Uncooperative,5.0,7.0,1,1.0,2.0,0.0,0.0
116,2018-01-01,awslabs/aws-config-rdk,Other_Uncooperative,11.0,7.0,0,3.0,3.0,4.0,5.0
117,2018-01-01,boto/boto3,Other_Uncooperative,9.0,7.0,0,8.0,28.0,495.0,586.0
118,2018-01-01,boto/botocore,Other_Uncooperative,9.0,7.0,0,47.0,107.0,136.0,182.0
119,2018-01-01,celery/billiard,Other_Cooperative,5.0,7.0,1,2.0,3.0,19.0,24.0
120,2018-01-01,charlesthk/python-mailchimp,Other_Cooperative,8.0,7.0,0,2.0,8.0,18.0,21.0
121,2018-01-01,cloudendpoints/endpoints-management-python,Other_Uncooperative,9.0,7.0,0,0.0,1.0,3.0,4.0
122,2018-01-01,codecov/codecov-python,Other_Uncooperative,8.0,7.0,0,4.0,4.0,16.0,27.0
123,2018-01-01,conan-io/conan-package-tools,Other_Cooperative,11.0,7.0,0,16.0,20.0,65.0,126.0
124,2018-01-01,danieliu/play-scraper,Other_Uncooperative,11.0,7.0,0,0.0,0.0,1.0,1.0
125,2018-01-01,douban/pymesos,Other_Cooperative,8.0,7.0,0,7.0,14.0,1.0,1.0
126,2018-01-01,dyninc/dyn-python,Other_Uncooperative,5.0,7.0,1,0.0,2.0,2.0,2.0
127,2018-01-01,fastai/fastai,Other_Uncooperative,11.0,7.0,0,204.0,249.0,222.0,283.0
128,2018-01-01,getlogbook/logbook,Other_Cooperative,11.0,7.0,0,3.0,3.0,13.0,14.0
129,2018-01-01,honeycombio/libhoney-py,Other_Uncooperative,11.0,7.0,0,7.0,19.0,5.0,6.0
130,2018-01-01,ibmdb/python-ibmdbsa,Other_Cooperative,11.0,7.0,0,1.0,4.0,10.0,18.0
131,2018-01-01,inspirehep/hepcrawl,Other_Cooperative,8.0,7.0,0,29.0,74.0,1.0,1.0
132,2018-01-01,irods/python-irodsclient,Other_Cooperative,8.0,7.0,0,7.0,20.0,37.0,71.0
133,2018-01-01,kelproject/pykube,Other_Cooperative,7.0,7.0,1,0.0,0.0,4.0,4.0
134,2018-01-01,keras-team/keras-preprocessing,Other_Cooperative,11.0,7.0,0,7.0,21.0,4.0,4.0
135,2018-01-01,lektor/lektor,Other_Cooperative,6.0,7.0,1,20.0,43.0,83.0,122.0
136,2018-01-01,matrix-org/matrix-python-sdk,Other_Cooperative,10.0,7.0,0,16.0,60.0,33.0,57.0
137,2018-01-01,mitmproxy/mitmproxy,Other_Uncooperative,6.0,7.0,1,188.0,440.0,546.0,919.0
138,2018-01-01,numba/llvmlite,Other_Cooperative,5.0,7.0,1,24.0,48.0,52.0,81.0
139,2018-01-01,opentracing/opentracing-python,Other_Cooperative,10.0,7.0,0,3.0,6.0,16.0,38.0
140,2018-01-01,pyca/pynacl,Other_Cooperative,10.0,7.0,0,11.0,21.0,27.0,47.0
141,2018-01-01,qiniu/python-sdk,Other_Uncooperative,8.0,7.0,0,2.0,3.0,4.0,5.0
142,2018-01-01,saltstack/salt-testing,Other_Cooperative,5.0,7.0,1,2.0,7.0,0.0,0.0
143,2018-01-01,sbg/sevenbridges-python,Other_Uncooperative,7.0,7.0,1,2.0,34.0,4.0,7.0
144,2018-01-01,secure-systems-lab/securesystemslib,Other_Cooperative,8.0,7.0,0,4.0,7.0,3.0,4.0
145,2018-01-01,square/connect-python-sdk,Other_Uncooperative,11.0,7.0,0,0.0,9.0,4.0,4.0
146,2018-01-01,statsmodels/statsmodels,Other_Cooperative,11.0,7.0,0,120.0,329.0,530.0,1059.0
147,2018-01-01,sunscrapers/djoser,Other_Uncooperative,8.0,7.0,0,0.0,2.0,13.0,15.0
148,2018-01-01,tariqdaouda/pyArango,Other_Cooperative,9.0,7.0,0,7.0,16.0,4.0,5.0
149,2018-01-01,tmux-python/libtmux,Other_Uncooperative,10.0,7.0,0,2.0,55.0,1.0,2.0
150,2018-01-01,translate/translate,Other_Cooperative,6.0,7.0,1,42.0,188.0,29.0,34.0
151,2018-01-01,tweepy/tweepy,Other_Cooperative,7.0,7.0,1,11.0,38.0,130.0,169.0
152,2018-01-01,ultrabug/py3status,Other_Cooperative,9.0,7.0,0,78.0,220.0,88.0,179.0
153,2018-01-01,vmware/pyvcloud,Other_Cooperative,8.0,7.0,0,32.0,80.0,38.0,54.0
154,2018-01-01,webrecorder/pywb,Other_Cooperative,11.0,7.0,0,29.0,89.0,50.0,75.0
155,2018-07-01,CartoDB/carto-python,Other_Cooperative,12.0,8.0,0,2.0,8.0,18.0,36.0
156,2018-07-01,CybOXProject/python-cybox,Other_Uncooperative,8.0,8.0,1,0.0,0.0,0.0,0.0
157,2018-07-01,Parsely/pykafka,Other_Cooperative,10.0,8.0,0,2.0,27.0,31.0,46.0
158,2018-07-01,WattTime/pyiso,Other_Uncooperative,5.0,8.0,1,1.0,2.0,2.0,2.0
159,2018-07-01,aiven/aiven-client,Other_Uncooperative,12.0,8.0,0,9.0,21.0,3.0,5.0
160,2018-07-01,appknox/vendor,Other_Cooperative,7.0,8.0,1,24.0,82.0,0.0,0.0
161,2018-07-01,arose/nglview,Other_Uncooperative,12.0,8.0,0,2.0,2.0,25.0,59.0
162,2018-07-01,astropy/regions,Other_Cooperative,11.0,8.0,0,19.0,70.0,19.0,30.0
163,2018-07-01,autoprotocol/autoprotocol-python,Other_Uncooperative,5.0,8.0,1,27.0,50.0,0.0,0.0
164,2018-07-01,awslabs/aws-config-rdk,Other_Uncooperative,11.0,8.0,0,4.0,6.0,21.0,25.0
165,2018-07-01,boto/boto3,Other_Uncooperative,9.0,8.0,0,17.0,136.0,508.0,636.0
166,2018-07-01,boto/botocore,Other_Uncooperative,9.0,8.0,0,62.0,346.0,141.0,172.0
167,2018-07-01,celery/billiard,Other_Cooperative,5.0,8.0,1,4.0,11.0,17.0,27.0
168,2018-07-01,charlesthk/python-mailchimp,Other_Cooperative,8.0,8.0,1,5.0,8.0,11.0,12.0
169,2018-07-01,cloudbase/PyMI,Other_Uncooperative,12.0,8.0,0,0.0,0.0,3.0,3.0
170,2018-07-01,cloudendpoints/endpoints-management-python,Other_Uncooperative,9.0,8.0,0,0.0,0.0,3.0,3.0
171,2018-07-01,codecov/codecov-python,Other_Uncooperative,8.0,8.0,1,0.0,0.0,17.0,17.0
172,2018-07-01,conan-io/conan-package-tools,Other_Cooperative,11.0,8.0,0,5.0,15.0,58.0,105.0
173,2018-07-01,cyface/django-termsandconditions,Other_Uncooperative,12.0,8.0,0,2.0,15.0,1.0,2.0
174,2018-07-01,danieliu/play-scraper,Other_Uncooperative,11.0,8.0,0,2.0,3.0,9.0,16.0
175,2018-07-01,douban/pymesos,Other_Cooperative,8.0,8.0,1,5.0,22.0,5.0,13.0
176,2018-07-01,dyninc/dyn-python,Other_Uncooperative,5.0,8.0,1,0.0,0.0,1.0,1.0
177,2018-07-01,eventbrite/pysoa,Other_Uncooperative,12.0,8.0,0,8.0,23.0,0.0,0.0
178,2018-07-01,fastai/fastai,Other_Uncooperative,11.0,8.0,0,131.0,148.0,377.0,524.0
179,2018-07-01,fugue/credstash,Other_Uncooperative,12.0,8.0,0,5.0,19.0,11.0,15.0
180,2018-07-01,getlogbook/logbook,Other_Cooperative,11.0,8.0,0,1.0,2.0,9.0,17.0
181,2018-07-01,honeycombio/libhoney-py,Other_Uncooperative,11.0,8.0,0,1.0,3.0,0.0,0.0
182,2018-07-01,ibmdb/python-ibmdbsa,Other_Cooperative,11.0,8.0,0,0.0,0.0,10.0,15.0
183,2018-07-01,inspirehep/hepcrawl,Other_Cooperative,8.0,8.0,1,2.0,10.0,1.0,1.0
184,2018-07-01,irods/python-irodsclient,Other_Cooperative,8.0,8.0,1,8.0,20.0,21.0,36.0
185,2018-07-01,kelproject/pykube,Other_Cooperative,7.0,8.0,1,0.0,0.0,5.0,6.0
186,2018-07-01,keras-team/keras-preprocessing,Other_Cooperative,11.0,8.0,0,33.0,47.0,47.0,56.0
187,2018-07-01,lektor/lektor,Other_Cooperative,6.0,8.0,1,18.0,42.0,80.0,121.0
188,2018-07-01,matrix-org/matrix-python-sdk,Other_Cooperative,10.0,8.0,0,8.0,21.0,34.0,41.0
189,2018-07-01,mikedh/trimesh,Other_Cooperative,12.0,8.0,0,11.0,210.0,109.0,215.0
190,2018-07-01,mitmproxy/mitmproxy,Other_Uncooperative,6.0,8.0,1,39.0,103.0,239.0,319.0
191,2018-07-01,numba/llvmlite,Other_Cooperative,5.0,8.0,1,31.0,85.0,64.0,111.0
192,2018-07-01,openshift/openshift-restclient-python,Other_Cooperative,12.0,8.0,0,27.0,80.0,50.0,85.0
193,2018-07-01,opentracing/opentracing-python,Other_Cooperative,10.0,8.0,0,3.0,8.0,8.0,9.0
194,2018-07-01,plone/archetypes.multilingual,Other_Cooperative,11.0,8.0,0,0.0,3.0,0.0,0.0
195,2018-07-01,pyca/pynacl,Other_Cooperative,10.0,8.0,0,18.0,39.0,47.0,64.0
196,2018-07-01,qiniu/python-sdk,Other_Uncooperative,8.0,8.0,1,0.0,0.0,6.0,6.0
197,2018-07-01,ros-infrastructure/rospkg,Other_Uncooperative,12.0,8.0,0,3.0,11.0,3.0,3.0
198,2018-07-01,saltstack/salt-testing,Other_Cooperative,5.0,8.0,1,5.0,10.0,0.0,0.0
199,2018-07-01,sbg/sevenbridges-python,Other_Uncooperative,7.0,8.0,1,1.0,64.0,13.0,14.0
200,2018-07-01,secure-systems-lab/securesystemslib,Other_Cooperative,8.0,8.0,1,5.0,10.0,3.0,6.0
201,2018-07-01,square/connect-python-sdk,Other_Uncooperative,11.0,8.0,0,0.0,6.0,3.0,3.0
202,2018-07-01,statsmodels/statsmodels,Other_Cooperative,11.0,8.0,0,130.0,399.0,515.0,1051.0
203,2018-07-01,sunscrapers/djoser,Other_Uncooperative,8.0,8.0,1,20.0,30.0,47.0,64.0
204,2018-07-01,tariqdaouda/pyArango,Other_Cooperative,9.0,8.0,0,11.0,14.0,14.0,19.0
205,2018-07-01,tmux-python/libtmux,Other_Uncooperative,10.0,8.0,0,2.0,19.0,0.0,0.0
206,2018-07-01,translate/translate,Other_Cooperative,6.0,8.0,1,16.0,48.0,22.0,37.0
207,2018-07-01,tweepy/tweepy,Other_Cooperative,7.0,8.0,1,11.0,18.0,128.0,158.0
208,2018-07-01,ultrabug/py3status,Other_Cooperative,9.0,8.0,0,126.0,482.0,142.0,250.0
209,2018-07-01,vmware/pyvcloud,Other_Cooperative,8.0,8.0,1,65.0,90.0,12.0,14.0
210,2018-07-01,warner/magic-wormhole,Other_Uncooperative,12.0,8.0,0,1.0,2.0,15.0,18.0
211,2018-07-01,webrecorder/pywb,Other_Cooperative,11.0,8.0,0,33.0,35.0,21.0,31.0
212,2018-07-01,wildfish/django-star-ratings,Other_Uncooperative,12.0,8.0,0,0.0,2.0,5.0,27.0
213,2019-01-01,CartoDB/carto-python,Other_Cooperative,12.0,9.0,0,17.0,37.0,4.0,5.0
214,2019-01-01,City-of-Helsinki/django-helusers,Other_Uncooperative,12.0,9.0,0,0.0,6.0,1.0,2.0
215,2019-01-01,Cog-Creators/Red-DiscordBot,Other_Uncooperative,13.0,9.0,0,280.0,562.0,161.0,200.0
216,2019-01-01,CybOXProject/python-cybox,Other_Uncooperative,8.0,9.0,1,0.0,0.0,1.0,1.0
217,2019-01-01,HypothesisWorks/hypothesis,Other_Uncooperative,13.0,9.0,0,171.0,866.0,188.0,335.0
218,2019-01-01,MisterWil/abodepy,Other_Cooperative,13.0,9.0,0,2.0,2.0,6.0,10.0
219,2019-01-01,Parsely/pykafka,Other_Cooperative,10.0,9.0,0,12.0,20.0,24.0,45.0
220,2019-01-01,Sung-Huan/ANNOgesic,Other_Uncooperative,13.0,9.0,0,0.0,0.0,6.0,6.0
221,2019-01-01,UMIACS/rgwadmin,Other_Cooperative,13.0,9.0,0,4.0,11.0,5.0,5.0
222,2019-01-01,WattTime/pyiso,Other_Uncooperative,5.0,9.0,1,0.0,0.0,2.0,2.0
223,2019-01-01,aio-libs/yarl,Other_Cooperative,13.0,9.0,0,2.0,7.0,25.0,42.0
224,2019-01-01,aiogram/aiogram,Other_Cooperative,13.0,9.0,0,27.0,93.0,16.0,23.0
225,2019-01-01,aiven/aiven-client,Other_Uncooperative,12.0,9.0,0,17.0,30.0,8.0,9.0
226,2019-01-01,appknox/vendor,Other_Cooperative,7.0,9.0,1,7.0,22.0,0.0,0.0
227,2019-01-01,arose/nglview,Other_Uncooperative,12.0,9.0,0,7.0,7.0,47.0,119.0
228,2019-01-01,astropy/regions,Other_Cooperative,11.0,9.0,0,24.0,48.0,27.0,50.0
229,2019-01-01,autoprotocol/autoprotocol-python,Other_Uncooperative,5.0,9.0,1,20.0,35.0,4.0,6.0
230,2019-01-01,awslabs/aws-config-rdk,Other_Uncooperative,11.0,9.0,0,4.0,16.0,16.0,19.0
231,2019-01-01,boto/boto3,Other_Uncooperative,9.0,9.0,1,23.0,361.0,556.0,755.0
232,2019-01-01,boto/botocore,Other_Uncooperative,9.0,9.0,1,33.0,441.0,146.0,199.0
233,2019-01-01,celery/billiard,Other_Cooperative,5.0,9.0,1,10.0,21.0,24.0,29.0
234,2019-01-01,charlesthk/python-mailchimp,Other_Cooperative,8.0,9.0,1,0.0,1.0,2.0,2.0
235,2019-01-01,cloudbase/PyMI,Other_Uncooperative,12.0,9.0,0,0.0,0.0,0.0,0.0
236,2019-01-01,cloudendpoints/endpoints-management-python,Other_Uncooperative,9.0,9.0,1,1.0,1.0,1.0,2.0
237,2019-01-01,codecov/codecov-python,Other_Uncooperative,8.0,9.0,1,11.0,27.0,15.0,16.0
238,2019-01-01,conan-io/conan-package-tools,Other_Cooperative,11.0,9.0,0,41.0,55.0,46.0,71.0
239,2019-01-01,cyface/django-termsandconditions,Other_Uncooperative,12.0,9.0,0,1.0,12.0,5.0,6.0
240,2019-01-01,danieliu/play-scraper,Other_Uncooperative,11.0,9.0,0,4.0,7.0,21.0,23.0
241,2019-01-01,debops/debops,Other_Cooperative,13.0,9.0,0,202.0,453.0,119.0,218.0
242,2019-01-01,douban/pymesos,Other_Cooperative,8.0,9.0,1,1.0,3.0,6.0,9.0
243,2019-01-01,dyninc/dyn-python,Other_Uncooperative,5.0,9.0,1,0.0,0.0,4.0,4.0
244,2019-01-01,emc-openstack/storops,Other_Cooperative,13.0,9.0,0,12.0,22.0,6.0,9.0
245,2019-01-01,encode/django-rest-framework,Other_Uncooperative,13.0,9.0,0,109.0,215.0,381.0,524.0
246,2019-01-01,ethereum/eth-tester,Other_Cooperative,13.0,9.0,0,6.0,18.0,9.0,12.0
247,2019-01-01,eventbrite/pysoa,Other_Uncooperative,12.0,9.0,0,5.0,12.0,0.0,0.0
248,2019-01-01,facebook/watchman,Other_Uncooperative,13.0,9.0,0,1.0,150.0,83.0,116.0
249,2019-01-01,fastai/fastai,Other_Uncooperative,11.0,9.0,0,40.0,46.0,301.0,521.0
250,2019-01-01,fugue/credstash,Other_Uncooperative,12.0,9.0,0,5.0,6.0,9.0,11.0
